                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95)
                   all       4952      12032      0.846      0.809      0.886      0.713
             aeroplane        204        285       0.95       0.87      0.952      0.778
               bicycle        239        337      0.923      0.878      0.948      0.778
                  bird        282        459      0.875      0.811      0.894      0.694
                  boat        172        263      0.787      0.692      0.801      0.553
                bottle        212        469      0.835      0.693      0.821      0.607
                   bus        174        213       0.88      0.906      0.959      0.863
                   car        721       1201      0.893      0.904      0.953      0.802
                   cat        322        358      0.931       0.87      0.948      0.823
                 chair        417        756      0.748      0.668      0.752      0.557
                   cow        127        244      0.805      0.861       0.91       0.74
           diningtable        190        206      0.696      0.777      0.843        0.7
                   dog        418        489      0.864       0.86      0.939      0.802
                 horse        274        348      0.928      0.899      0.953      0.783
             motorbike        222        325      0.928      0.855      0.942      0.734
                person       2007       4528       0.92      0.803      0.928      0.712
           pottedplant        224        480      0.769      0.498      0.667      0.417
                 sheep         97        242       0.77      0.818      0.866      0.694
                  sofa        223        239      0.677      0.849      0.824      0.734
                 train        259        282      0.889      0.876      0.935      0.773
             tvmonitor        229        308      0.846      0.783      0.877      0.714
