                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 
                   all       4952      12032      0.866       0.81      0.893      0.723
             aeroplane        204        285      0.927      0.881      0.961       0.78
               bicycle        239        337      0.935      0.895      0.951      0.779
                  bird        282        459      0.903        0.8      0.912      0.705
                  boat        172        263      0.832      0.707      0.829      0.576
                bottle        212        469      0.869      0.694       0.82      0.606
                   bus        174        213      0.877      0.915      0.954      0.864
                   car        721       1201      0.905      0.885      0.953      0.804
                   cat        322        358      0.911      0.888      0.955      0.847
                 chair        417        756      0.783      0.656      0.774      0.583
                   cow        127        244      0.836      0.873      0.927      0.747
           diningtable        190        206      0.716       0.81      0.822        0.7
                   dog        418        489       0.91      0.863      0.939      0.807
                 horse        274        348       0.93      0.899      0.961      0.799
             motorbike        222        325      0.936      0.874      0.951      0.746
                person       2007       4528      0.937      0.783      0.927      0.714
           pottedplant        224        480      0.795      0.477      0.672      0.424
                 sheep         97        242      0.849      0.785      0.896      0.719
                  sofa        223        239       0.69      0.837      0.833      0.747
                 train        259        282      0.918      0.878      0.936       0.79
             tvmonitor        229        308      0.867      0.808       0.89      0.723
