                  Class     Images  Instances      Box(P        R        mAP50     mAP50-95)
                   all       4952      12032      0.844      0.799      0.876      0.701
             aeroplane        204        285       0.92      0.842      0.941      0.736
               bicycle        239        337      0.932      0.852      0.936      0.753
                  bird        282        459      0.868      0.791      0.879      0.675
                  boat        172        263      0.778      0.705      0.789      0.555
                bottle        212        469      0.807      0.699      0.804      0.593
                   bus        174        213      0.903      0.887      0.944      0.848
                   car        721       1201      0.887      0.892       0.95      0.795
                   cat        322        358      0.912      0.866      0.931      0.812
                 chair        417        756      0.727      0.664      0.748      0.556
                   cow        127        244       0.83      0.862      0.923      0.742
           diningtable        190        206      0.676      0.782      0.805      0.677
                   dog        418        489      0.902      0.806      0.918      0.769
                 horse        274        348      0.907      0.894      0.956      0.793
             motorbike        222        325      0.925      0.831      0.934      0.724
                person       2007       4528      0.913      0.811      0.924      0.701
           pottedplant        224        480      0.727      0.473      0.638       0.39
                 sheep         97        242      0.827      0.835       0.89      0.711
                  sofa        223        239      0.695      0.816      0.821      0.715
                 train        259        282      0.903      0.876      0.916      0.772
             tvmonitor        229        308      0.833      0.792       0.87      0.703
