                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):           
                   all       4952      12032      0.844      0.807       0.88      0.708
             aeroplane        204        285      0.928      0.863      0.951      0.763
               bicycle        239        337      0.938      0.891      0.947       0.76
                  bird        282        459      0.889      0.766      0.897      0.697
                  boat        172        263      0.769      0.719      0.789      0.557
                bottle        212        469      0.822      0.712      0.806      0.591
                   bus        174        213      0.869      0.875      0.935      0.838
                   car        721       1201       0.89      0.903      0.953      0.805
                   cat        322        358      0.922      0.877      0.943      0.822
                 chair        417        756      0.708      0.681      0.758      0.569
                   cow        127        244      0.853      0.857      0.915      0.734
           diningtable        190        206      0.699       0.79      0.809      0.684
                   dog        418        489      0.915      0.824      0.929      0.787
                 horse        274        348      0.897        0.9      0.961      0.803
             motorbike        222        325      0.905      0.877      0.956      0.745
                person       2007       4528      0.924      0.819      0.927      0.703
           pottedplant        224        480      0.774      0.458      0.631      0.385
                 sheep         97        242      0.811      0.806      0.866      0.698
                  sofa        223        239      0.649      0.858      0.842      0.749
                 train        259        282      0.888      0.869      0.931      0.779
             tvmonitor        229        308      0.831        0.8      0.849      0.697
