Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
PASCAL_VOC_OG,all,4952,12032,0.844,0.799,0.876,0.701
PASCAL_VOC_OG,aeroplane,204,285,0.92,0.842,0.941,0.736
PASCAL_VOC_OG,bicycle,239,337,0.932,0.852,0.936,0.753
PASCAL_VOC_OG,bird,282,459,0.868,0.791,0.879,0.675
PASCAL_VOC_OG,boat,172,263,0.778,0.705,0.789,0.555
PASCAL_VOC_OG,bottle,212,469,0.807,0.699,0.804,0.593
PASCAL_VOC_OG,bus,174,213,0.903,0.887,0.944,0.848
PASCAL_VOC_OG,car,721,1201,0.887,0.892,0.95,0.795
PASCAL_VOC_OG,cat,322,358,0.912,0.866,0.931,0.812
PASCAL_VOC_OG,chair,417,756,0.727,0.664,0.748,0.556
PASCAL_VOC_OG,cow,127,244,0.83,0.862,0.923,0.742
PASCAL_VOC_OG,diningtable,190,206,0.676,0.782,0.805,0.677
PASCAL_VOC_OG,dog,418,489,0.902,0.806,0.918,0.769
PASCAL_VOC_OG,horse,274,348,0.907,0.894,0.956,0.793
PASCAL_VOC_OG,motorbike,222,325,0.925,0.831,0.934,0.724
PASCAL_VOC_OG,person,2007,4528,0.913,0.811,0.924,0.701
PASCAL_VOC_OG,pottedplant,224,480,0.727,0.473,0.638,0.39
PASCAL_VOC_OG,sheep,97,242,0.827,0.835,0.89,0.711
PASCAL_VOC_OG,sofa,223,239,0.695,0.816,0.821,0.715
PASCAL_VOC_OG,train,259,282,0.903,0.876,0.916,0.772
PASCAL_VOC_OG,tvmonitor,229,308,0.833,0.792,0.87,0.703
PASCAL_VOC_Classic,all,4952,12032,0.846,0.809,0.886,0.713
PASCAL_VOC_Classic,aeroplane,204,285,0.95,0.87,0.952,0.778
PASCAL_VOC_Classic,bicycle,239,337,0.923,0.878,0.948,0.778
PASCAL_VOC_Classic,bird,282,459,0.875,0.811,0.894,0.694
PASCAL_VOC_Classic,boat,172,263,0.787,0.692,0.801,0.553
PASCAL_VOC_Classic,bottle,212,469,0.835,0.693,0.821,0.607
PASCAL_VOC_Classic,bus,174,213,0.88,0.906,0.959,0.863
PASCAL_VOC_Classic,car,721,1201,0.893,0.904,0.953,0.802
PASCAL_VOC_Classic,cat,322,358,0.931,0.87,0.948,0.823
PASCAL_VOC_Classic,chair,417,756,0.748,0.668,0.752,0.557
PASCAL_VOC_Classic,cow,127,244,0.805,0.861,0.91,0.74
PASCAL_VOC_Classic,diningtable,190,206,0.696,0.777,0.843,0.7
PASCAL_VOC_Classic,dog,418,489,0.864,0.86,0.939,0.802
PASCAL_VOC_Classic,horse,274,348,0.928,0.899,0.953,0.783
PASCAL_VOC_Classic,motorbike,222,325,0.928,0.855,0.942,0.734
PASCAL_VOC_Classic,person,2007,4528,0.92,0.803,0.928,0.712
PASCAL_VOC_Classic,pottedplant,224,480,0.769,0.498,0.667,0.417
PASCAL_VOC_Classic,sheep,97,242,0.77,0.818,0.866,0.694
PASCAL_VOC_Classic,sofa,223,239,0.677,0.849,0.824,0.734
PASCAL_VOC_Classic,train,259,282,0.889,0.876,0.935,0.773
PASCAL_VOC_Classic,tvmonitor,229,308,0.846,0.783,0.877,0.714
PASCAL_VOC_DM,all,4952,12032,0.844,0.807,0.88,0.708
PASCAL_VOC_DM,aeroplane,204,285,0.928,0.863,0.951,0.763
PASCAL_VOC_DM,bicycle,239,337,0.938,0.891,0.947,0.76
PASCAL_VOC_DM,bird,282,459,0.889,0.766,0.897,0.697
PASCAL_VOC_DM,boat,172,263,0.769,0.719,0.789,0.557
PASCAL_VOC_DM,bottle,212,469,0.822,0.712,0.806,0.591
PASCAL_VOC_DM,bus,174,213,0.869,0.875,0.935,0.838
PASCAL_VOC_DM,car,721,1201,0.89,0.903,0.953,0.805
PASCAL_VOC_DM,cat,322,358,0.922,0.877,0.943,0.822
PASCAL_VOC_DM,chair,417,756,0.708,0.681,0.758,0.569
