**********************************************
*************** Resumen global ***************
**********************************************

+-----+--------------------------+-----------+--------+--------+-----------+
|     |       Experimento        | Precisión | Recall | mAP@50 | mAP@50-95 |
+-----+--------------------------+-----------+--------+--------+-----------+
|  0  |      PascalVoc_OG        |   0.844   | 0.799  | 0.876  |   0.701   |
|  1  |   PascalVoc_CLASSIC      |   0.846   | 0.809  | 0.886  |   0.713   |
|  2  |     PascalVoc_DADM       |   0.844   | 0.807  |  0.88  |   0.708   |
|  3  |   PascalVoc_HIBRID       |   0.866   |  0.81  | 0.893  |   0.723   |
|  4  |        GUNS_OG           |   0.848   | 0.789  | 0.886  |   0.730   |
|  5  |     GUNS_CLASSIC         |   0.791   | 0.819  |  0.89  |   0.741   |
|  6  |      GUNS_DADM           |   0.839   | 0.839  | 0.903  |   0.757   |
|  7  |     GUNS_HIBRID          |   0.868   | 0.839  | 0.911  |   0.769   |
|  8  |        COCO20_OG         |   0.666   | 0.537  | 0.582  |   0.426   |
|  9  |    COCO20_CLASSIC        |   0.671   | 0.532  | 0.584  |   0.433   |
| 10  |      COCO20_DM           |   0.665   | 0.545  | 0.589  |   0.431   |
| 11  |    COCO20_HIBRID         |   0.685   | 0.533  | 0.591  |   0.438   |
+-----+--------------------------+-----------+--------+--------+-----------+



**********************************************
********* Resumenes por dataset **************
**********************************************

Resumen global para: MetricasCoco20.csv
+-----+--------------------------+-----------+--------+--------+-----------+
|     |       Experimento        | Precisión | Recall | mAP@50 | mAP@50-95 |
+-----+--------------------------+-----------+--------+--------+-----------+
|  0  |    coco_20_DA_classic    |   0.671   | 0.532  | 0.584  |   0.433   |
| 66  | coco_20_DA_DM_segun_size |   0.46    | 0.323  | 0.324  |   0.212   |
| 132 |        coco_20_OG        |   0.666   | 0.537  | 0.582  |   0.426   |
| 198 |    coco_20_DA_hibrid     |   0.685   | 0.533  | 0.591  |   0.438   |
| 264 |      coco_20_DA_DM       |   0.665   | 0.545  | 0.589  |   0.431   |
+-----+--------------------------+-----------+--------+--------+-----------+

Tabla detallada para: MetricasCoco20.csv
+-----+--------------------------+--------------+-----------+--------+--------+-----------+
|     |       Experimento        |    Clase     | Precisión | Recall | mAP@50 | mAP@50-95 |
+-----+--------------------------+--------------+-----------+--------+--------+-----------+
|  0  |    coco_20_DA_classic    |     all      |   0.671   | 0.532  | 0.584  |   0.433   |
|  1  |    coco_20_DA_classic    |    person    |   0.792   |  0.71  | 0.794  |   0.581   |
|  2  |    coco_20_DA_classic    |   bicycle    |   0.715   | 0.452  | 0.537  |   0.335   |
|  3  |    coco_20_DA_classic    |     car      |   0.723   | 0.579  | 0.651  |   0.446   |
|  4  |    coco_20_DA_classic    |  motorcycle  |   0.736   | 0.616  | 0.705  |   0.477   |
|  5  |    coco_20_DA_classic    |   airplane   |   0.776   | 0.825  | 0.881  |   0.704   |
|  6  |    coco_20_DA_classic    |     bus      |   0.799   |  0.77  | 0.828  |   0.715   |
|  7  |    coco_20_DA_classic    |    train     |   0.844   | 0.789  | 0.879  |   0.711   |
|  8  |    coco_20_DA_classic    |    truck     |    0.6    | 0.464  | 0.537  |   0.385   |
|  9  |    coco_20_DA_classic    |     boat     |   0.657   | 0.399  | 0.474  |   0.276   |
| 10  |    coco_20_DA_classic    |    bench     |   0.608   | 0.355  | 0.379  |   0.269   |
| 11  |    coco_20_DA_classic    |     bird     |   0.692   | 0.384  | 0.473  |   0.33    |
| 12  |    coco_20_DA_classic    |     cat      |   0.803   | 0.847  | 0.877  |   0.735   |
| 13  |    coco_20_DA_classic    |     dog      |   0.697   | 0.757  | 0.772  |   0.646   |
| 14  |    coco_20_DA_classic    |    horse     |   0.802   | 0.757  | 0.811  |   0.635   |
| 15  |    coco_20_DA_classic    |    sheep     |   0.69    | 0.709  | 0.743  |   0.545   |
| 16  |    coco_20_DA_classic    |     cow      |   0.71    | 0.669  | 0.743  |   0.571   |
| 17  |    coco_20_DA_classic    |   elephant   |   0.777   | 0.893  | 0.857  |   0.676   |
| 18  |    coco_20_DA_classic    |     bear     |   0.804   |  0.75  |  0.79  |   0.663   |
| 19  |    coco_20_DA_classic    |    zebra     |   0.822   | 0.831  | 0.899  |   0.715   |
| 20  |    coco_20_DA_classic    |   giraffe    |   0.873   | 0.875  | 0.909  |   0.731   |
| 21  |    coco_20_DA_classic    |   backpack   |   0.527   | 0.208  | 0.269  |   0.145   |
| 22  |    coco_20_DA_classic    |   umbrella   |   0.692   | 0.558  | 0.596  |   0.42    |
| 23  |    coco_20_DA_classic    |   handbag    |   0.564   |  0.22  | 0.265  |   0.155   |
| 24  |    coco_20_DA_classic    |     tie      |   0.732   | 0.444  | 0.502  |   0.343   |
| 25  |    coco_20_DA_classic    |   suitcase   |   0.628   | 0.531  | 0.547  |   0.385   |
| 26  |    coco_20_DA_classic    |   frisbee    |   0.765   | 0.765  | 0.838  |   0.671   |
| 27  |    coco_20_DA_classic    |     skis     |   0.655   | 0.382  | 0.454  |   0.263   |
| 28  |    coco_20_DA_classic    |  snowboard   |   0.642   | 0.406  | 0.513  |   0.383   |
| 29  |    coco_20_DA_classic    |     kite     |   0.633   | 0.575  | 0.597  |   0.41    |
| 30  |    coco_20_DA_classic    |  skateboard  |   0.765   | 0.746  | 0.776  |   0.577   |
| 31  |    coco_20_DA_classic    |  surfboard   |   0.682   | 0.562  | 0.604  |   0.403   |
| 32  |    coco_20_DA_classic    |    bottle    |   0.643   | 0.506  | 0.553  |   0.388   |
| 33  |    coco_20_DA_classic    |     cup      |   0.68    | 0.501  | 0.571  |   0.426   |
| 34  |    coco_20_DA_classic    |     fork     |   0.691   | 0.447  | 0.535  |   0.394   |
| 35  |    coco_20_DA_classic    |    knife     |   0.526   | 0.222  | 0.285  |   0.18    |
| 36  |    coco_20_DA_classic    |    spoon     |    0.5    | 0.265  | 0.282  |   0.194   |
| 37  |    coco_20_DA_classic    |     bowl     |   0.663   |  0.52  |  0.58  |   0.447   |
| 38  |    coco_20_DA_classic    |    banana    |   0.57    | 0.286  | 0.356  |   0.226   |
| 39  |    coco_20_DA_classic    |    apple     |   0.499   | 0.186  | 0.251  |   0.175   |
| 40  |    coco_20_DA_classic    |   sandwich   |   0.634   | 0.407  | 0.466  |   0.349   |
| 41  |    coco_20_DA_classic    |    orange    |   0.476   | 0.284  | 0.321  |   0.252   |
| 42  |    coco_20_DA_classic    |   broccoli   |   0.55    | 0.301  | 0.372  |   0.222   |
| 43  |    coco_20_DA_classic    |    carrot    |   0.421   |  0.27  | 0.292  |   0.184   |
| 44  |    coco_20_DA_classic    |    pizza     |   0.78    | 0.655  | 0.723  |   0.56    |
| 45  |    coco_20_DA_classic    |    donut     |   0.467   | 0.561  | 0.518  |   0.42    |
| 46  |    coco_20_DA_classic    |     cake     |   0.617   | 0.484  |  0.51  |   0.348   |
| 47  |    coco_20_DA_classic    |    chair     |   0.639   | 0.415  | 0.492  |   0.326   |
| 48  |    coco_20_DA_classic    |    couch     |   0.637   | 0.579  | 0.634  |   0.496   |
| 49  |    coco_20_DA_classic    |     bed      |   0.678   | 0.626  |  0.67  |   0.504   |
| 50  |    coco_20_DA_classic    |    toilet    |   0.72    | 0.732  |  0.77  |   0.637   |
| 51  |    coco_20_DA_classic    |      tv      |   0.754   | 0.694  | 0.758  |   0.59    |
| 52  |    coco_20_DA_classic    |    laptop    |   0.715   | 0.696  | 0.742  |   0.636   |
| 53  |    coco_20_DA_classic    |    mouse     |   0.756   | 0.729  | 0.774  |    0.6    |
| 54  |    coco_20_DA_classic    |    remote    |   0.582   | 0.403  | 0.457  |   0.301   |
| 55  |    coco_20_DA_classic    |   keyboard   |   0.706   | 0.542  | 0.695  |   0.543   |
| 56  |    coco_20_DA_classic    |  microwave   |   0.619   | 0.679  | 0.706  |   0.575   |
| 57  |    coco_20_DA_classic    |     oven     |   0.634   | 0.517  | 0.545  |   0.386   |
| 58  |    coco_20_DA_classic    |   toaster    |   0.885   | 0.333  | 0.571  |   0.419   |
| 59  |    coco_20_DA_classic    |     sink     |   0.653   | 0.529  |  0.56  |   0.372   |
| 60  |    coco_20_DA_classic    | refrigerator |   0.687   | 0.627  | 0.713  |   0.577   |
| 61  |    coco_20_DA_classic    |     book     |   0.453   | 0.0983 | 0.213  |   0.113   |
| 62  |    coco_20_DA_classic    |    clock     |   0.754   | 0.685  | 0.723  |   0.518   |
| 63  |    coco_20_DA_classic    |     vase     |   0.603   |  0.54  | 0.532  |   0.386   |
| 64  |    coco_20_DA_classic    |   scissors   |   0.562   | 0.444  |  0.43  |   0.361   |
| 65  |    coco_20_DA_classic    |  toothbrush  |   0.329   | 0.263  | 0.294  |   0.227   |
| 66  | coco_20_DA_DM_segun_size |     all      |   0.46    | 0.323  | 0.324  |   0.212   |
| 67  | coco_20_DA_DM_segun_size |    person    |   0.659   | 0.603  | 0.649  |   0.412   |
| 68  | coco_20_DA_DM_segun_size |   bicycle    |   0.433   | 0.252  | 0.235  |   0.129   |
| 69  | coco_20_DA_DM_segun_size |     car      |   0.546   |  0.41  | 0.421  |   0.251   |
| 70  | coco_20_DA_DM_segun_size |  motorcycle  |   0.538   | 0.419  | 0.465  |   0.257   |
| 71  | coco_20_DA_DM_segun_size |   airplane   |   0.509   | 0.601  | 0.583  |   0.41    |
| 72  | coco_20_DA_DM_segun_size |     bus      |   0.651   | 0.586  | 0.617  |   0.49    |
| 73  | coco_20_DA_DM_segun_size |    train     |   0.649   | 0.642  | 0.686  |   0.492   |
| 74  | coco_20_DA_DM_segun_size |    truck     |   0.409   | 0.327  | 0.307  |   0.18    |
| 75  | coco_20_DA_DM_segun_size |     boat     |   0.417   | 0.269  | 0.217  |   0.103   |
| 76  | coco_20_DA_DM_segun_size |    bench     |   0.413   | 0.178  | 0.173  |  0.0991   |
| 77  | coco_20_DA_DM_segun_size |     bird     |   0.535   | 0.178  | 0.209  |   0.124   |
| 78  | coco_20_DA_DM_segun_size |     cat      |   0.54    | 0.653  |  0.63  |   0.408   |
| 79  | coco_20_DA_DM_segun_size |     dog      |   0.446   | 0.454  | 0.389  |   0.279   |
| 80  | coco_20_DA_DM_segun_size |    horse     |   0.448   | 0.526  | 0.496  |   0.329   |
| 81  | coco_20_DA_DM_segun_size |    sheep     |   0.369   |  0.52  | 0.416  |   0.261   |
| 82  | coco_20_DA_DM_segun_size |     cow      |   0.493   | 0.409  | 0.417  |   0.272   |
| 83  | coco_20_DA_DM_segun_size |   elephant   |   0.553   | 0.591  | 0.601  |   0.419   |
| 84  | coco_20_DA_DM_segun_size |     bear     |   0.482   |  0.63  | 0.565  |   0.441   |
| 85  | coco_20_DA_DM_segun_size |    zebra     |   0.643   | 0.741  | 0.772  |   0.516   |
| 86  | coco_20_DA_DM_segun_size |   giraffe    |   0.753   | 0.737  | 0.766  |   0.543   |
| 87  | coco_20_DA_DM_segun_size |   backpack   |   0.312   | 0.0404 | 0.077  |  0.0359   |
