Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 
                   all       5000      36335      0.671      0.532      0.584      0.433
                person       2693      10777      0.792       0.71      0.794      0.581
               bicycle        149        314      0.715      0.452      0.537      0.335
                   car        535       1918      0.723      0.579      0.651      0.446
            motorcycle        159        367      0.736      0.616      0.705      0.477
              airplane         97        143      0.776      0.825      0.881      0.704
                   bus        189        283      0.799       0.77      0.828      0.715
                 train        157        190      0.844      0.789      0.879      0.711
                 truck        250        414        0.6      0.464      0.537      0.385
                  boat        121        424      0.657      0.399      0.474      0.276
         traffic light        191        634      0.666      0.413      0.491      0.269
          fire hydrant         86        101      0.803      0.792       0.87      0.722
             stop sign         69         75      0.662      0.693      0.755      0.679
         parking meter         37         60      0.701      0.617      0.607      0.461
                 bench        235        411      0.608      0.355      0.379      0.269
                  bird        125        427      0.692      0.384      0.473       0.33
                   cat        184        202      0.803      0.847      0.877      0.735
                   dog        177        218      0.697      0.757      0.772      0.646
                 horse        128        272      0.802      0.757      0.811      0.635
                 sheep         65        354       0.69      0.709      0.743      0.545
                   cow         87        372       0.71      0.669      0.743      0.571
              elephant         89        252      0.777      0.893      0.857      0.676
                  bear         49         71      0.804       0.75       0.79      0.663
                 zebra         85        266      0.822      0.831      0.899      0.715
               giraffe        101        232      0.873      0.875      0.909      0.731
              backpack        228        371      0.527      0.208      0.269      0.145
              umbrella        174        407      0.692      0.558      0.596       0.42
               handbag        292        540      0.564       0.22      0.265      0.155
                   tie        145        252      0.732      0.444      0.502      0.343
              suitcase        105        299      0.628      0.531      0.547      0.385
               frisbee         84        115      0.765      0.765      0.838      0.671
                  skis        120        241      0.655      0.382      0.454      0.263
             snowboard         49         69      0.642      0.406      0.513      0.383
           sports ball        169        260      0.698      0.496      0.539      0.393
                  kite         91        327      0.633      0.575      0.597       0.41
          baseball bat         97        145       0.59      0.507      0.484      0.315
        baseball glove        100        148       0.75      0.547      0.591       0.37
            skateboard        127        179      0.765      0.746      0.776      0.577
             surfboard        149        267      0.682      0.562      0.604      0.403
         tennis racket        167        225      0.757      0.693      0.742      0.537
                bottle        379       1013      0.643      0.506      0.553      0.388
            wine glass        110        341      0.737      0.475      0.564      0.382
                   cup        390        895       0.68      0.501      0.571      0.426
                  fork        155        215      0.691      0.447      0.535      0.394
                 knife        181        325      0.526      0.222      0.285       0.18
                 spoon        153        253        0.5      0.265      0.282      0.194
                  bowl        314        623      0.663       0.52       0.58      0.447
                banana        103        370       0.57      0.286      0.356      0.226
                 apple         76        236      0.499      0.186      0.251      0.175
              sandwich         98        177      0.634      0.407      0.466      0.349
                orange         85        285      0.476      0.284      0.321      0.252
              broccoli         71        312       0.55      0.301      0.372      0.222
                carrot         81        365      0.421       0.27      0.292      0.184
               hot dog         51        125      0.611       0.44      0.437      0.324
                 pizza        153        284       0.78      0.655      0.723       0.56
                 donut         62        328      0.467      0.561      0.518       0.42
                  cake        124        310      0.617      0.484       0.51      0.348
                 chair        580       1771      0.639      0.415      0.492      0.326
                 couch        195        261      0.637      0.579      0.634      0.496
          potted plant        172        342      0.587      0.437      0.485      0.296
                   bed        149        163      0.678      0.626       0.67      0.504
          dining table        501        695      0.571      0.447      0.456      0.329
                toilet        149        179       0.72      0.732       0.77      0.637
                    tv        207        288      0.754      0.694      0.758       0.59
                laptop        183        231      0.715      0.696      0.742      0.636
                 mouse         88        106      0.756      0.729      0.774        0.6
                remote        145        283      0.582      0.403      0.457      0.301
              keyboard        106        153      0.706      0.542      0.695      0.543
            cell phone        214        262      0.596      0.473       0.52      0.355
             microwave         54         55      0.619      0.679      0.706      0.575
                  oven        115        143      0.634      0.517      0.545      0.386
               toaster          8          9      0.885      0.333      0.571      0.419
                  sink        187        225      0.653      0.529       0.56      0.372
          refrigerator        101        126      0.687      0.627      0.713      0.577
                  book        230       1129      0.453     0.0983      0.213      0.113
                 clock        204        267      0.754      0.685      0.723      0.518
                  vase        137        274      0.603       0.54      0.532      0.386
              scissors         28         36      0.562      0.444       0.43      0.361
            teddy bear         94        190      0.699      0.637      0.667      0.511
            hair drier          9         11          1          0     0.0926     0.0642
            toothbrush         34         57      0.329      0.263      0.294      0.227
