Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 
                   all       5000      36335      0.665      0.545      0.589      0.431
                person       2693      10777      0.781      0.731      0.798      0.574
               bicycle        149        314      0.688      0.484      0.549      0.323
                   car        535       1918      0.701      0.624      0.665      0.452
            motorcycle        159        367      0.746      0.659      0.712      0.465
              airplane         97        143      0.795      0.825       0.88        0.7
                   bus        189        283       0.83      0.724      0.822      0.697
                 train        157        190      0.838        0.8      0.883      0.728
                 truck        250        414      0.614      0.491      0.537       0.38
                  boat        121        424      0.649      0.418      0.502      0.277
         traffic light        191        634      0.666      0.453      0.499      0.271
          fire hydrant         86        101      0.812      0.812      0.873      0.728
             stop sign         69         75      0.669       0.72      0.745       0.68
         parking meter         37         60      0.783      0.583      0.623      0.492
                 bench        235        411      0.555      0.364      0.375      0.258
                  bird        125        427      0.666      0.426      0.483      0.328
                   cat        184        202      0.819      0.856      0.882      0.716
                   dog        177        218      0.753      0.752      0.761      0.628
                 horse        128        272      0.812      0.739      0.821       0.64
                 sheep         65        354      0.688      0.712      0.753      0.547
                   cow         87        372      0.746      0.707       0.76      0.579
              elephant         89        252      0.772      0.869       0.85      0.673
                  bear         49         71      0.805      0.815      0.834        0.7
                 zebra         85        266      0.828      0.857      0.911      0.726
               giraffe        101        232      0.871      0.873      0.915      0.747
              backpack        228        371      0.523      0.237       0.28      0.164
              umbrella        174        407      0.649      0.563      0.588      0.412
               handbag        292        540      0.536      0.228      0.265      0.156
                   tie        145        252      0.698      0.464       0.55      0.362
              suitcase        105        299      0.591      0.555      0.573      0.391
               frisbee         84        115      0.765      0.774      0.831      0.657
                  skis        120        241      0.619      0.419      0.452      0.242
             snowboard         49         69      0.646      0.435      0.521      0.365
           sports ball        169        260      0.754      0.506      0.553       0.42
                  kite         91        327      0.618      0.637      0.626      0.436
          baseball bat         97        145      0.599      0.503      0.504      0.321
        baseball glove        100        148      0.685      0.568      0.605      0.372
            skateboard        127        179      0.807      0.749      0.766      0.567
             surfboard        149        267      0.691      0.578      0.619      0.398
         tennis racket        167        225      0.831      0.738      0.808      0.536
                bottle        379       1013      0.634       0.53      0.565      0.396
            wine glass        110        341      0.721      0.462      0.548       0.38
                   cup        390        895      0.623      0.531       0.57      0.425
                  fork        155        215      0.726      0.423      0.517      0.363
                 knife        181        325      0.472      0.258      0.299      0.183
                 spoon        153        253       0.48      0.266      0.288      0.184
                  bowl        314        623       0.65      0.522      0.578      0.446
                banana        103        370      0.487       0.29      0.345      0.223
                 apple         76        236      0.493      0.181      0.244      0.161
              sandwich         98        177       0.65      0.435      0.519      0.371
                orange         85        285      0.468      0.337      0.348      0.269
              broccoli         71        312      0.562      0.337       0.39      0.221
                carrot         81        365      0.382      0.293      0.276      0.174
               hot dog         51        125      0.549        0.4      0.404      0.297
                 pizza        153        284      0.768      0.669      0.735      0.559
                 donut         62        328      0.493      0.552      0.477      0.381
                  cake        124        310      0.655      0.522      0.569      0.378
                 chair        580       1771      0.589       0.46      0.499      0.325
                 couch        195        261      0.576      0.632      0.635      0.486
          potted plant        172        342      0.548      0.457      0.461      0.275
                   bed        149        163      0.679      0.571       0.65       0.47
          dining table        501        695      0.521      0.485      0.445       0.31
                toilet        149        179       0.75      0.726      0.791      0.654
                    tv        207        288      0.786      0.689      0.749      0.583
                laptop        183        231      0.714      0.727      0.782      0.643
                 mouse         88        106      0.777      0.717       0.78      0.603
                remote        145        283      0.569      0.442      0.466      0.296
              keyboard        106        153      0.639      0.595      0.671      0.519
            cell phone        214        262      0.599      0.503      0.526      0.355
             microwave         54         55      0.613      0.719      0.722      0.599
                  oven        115        143      0.566      0.434      0.511      0.362
               toaster          8          9      0.516      0.333      0.505      0.432
                  sink        187        225      0.644       0.52      0.586      0.386
          refrigerator        101        126      0.745      0.659      0.709      0.563
                  book        230       1129      0.438      0.191      0.229      0.121
                 clock        204        267      0.707      0.667        0.7      0.491
                  vase        137        274      0.568      0.507      0.523      0.373
              scissors         28         36      0.603      0.361      0.374      0.269
            teddy bear         94        190      0.771      0.626      0.664      0.495
            hair drier          9         11          1          0      0.147      0.097
            toothbrush         34         57       0.59      0.351      0.364       0.27
