Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 
                   all       5000      36335      0.685      0.533      0.591      0.438
                person       2693      10777      0.796      0.709      0.793      0.576
               bicycle        149        314       0.72      0.475      0.557      0.335
                   car        535       1918      0.716      0.587      0.652      0.448
            motorcycle        159        367      0.713      0.651      0.715      0.486
              airplane         97        143      0.805      0.825       0.89      0.708
                   bus        189        283      0.808      0.761      0.837      0.713
                 train        157        190      0.874      0.804      0.881      0.728
                 truck        250        414      0.623       0.44      0.546      0.388
                  boat        121        424      0.656      0.365      0.467      0.268
         traffic light        191        634      0.698      0.424      0.498      0.279
          fire hydrant         86        101      0.859      0.792       0.88      0.737
             stop sign         69         75      0.804      0.747      0.766      0.696
         parking meter         37         60      0.648        0.6      0.607      0.461
                 bench        235        411      0.594      0.372      0.381      0.259
                  bird        125        427      0.721      0.388      0.486      0.326
                   cat        184        202      0.815      0.875      0.889      0.731
                   dog        177        218      0.751       0.78      0.776      0.655
                 horse        128        272      0.776      0.754      0.811      0.627
                 sheep         65        354      0.708      0.686      0.734       0.55
                   cow         87        372      0.733      0.679      0.752      0.565
              elephant         89        252      0.732      0.869      0.846      0.676
                  bear         49         71      0.827      0.775      0.824      0.689
                 zebra         85        266      0.802       0.85      0.899      0.719
               giraffe        101        232      0.862      0.879      0.904      0.733
              backpack        228        371      0.519      0.221      0.276      0.151
              umbrella        174        407      0.656      0.555       0.61      0.434
               handbag        292        540      0.621      0.194      0.277      0.165
                   tie        145        252      0.733      0.458      0.524      0.357
              suitcase        105        299      0.611      0.542      0.568      0.402
               frisbee         84        115      0.779      0.809       0.83      0.654
                  skis        120        241      0.633      0.373      0.464      0.272
             snowboard         49         69      0.653      0.409      0.494      0.364
           sports ball        169        260      0.769      0.481      0.544      0.396
                  kite         91        327      0.637      0.569      0.611      0.423
          baseball bat         97        145      0.636      0.476      0.521      0.348
        baseball glove        100        148      0.769      0.547        0.6      0.385
            skateboard        127        179      0.726       0.76      0.758      0.571
             surfboard        149        267      0.702      0.581      0.605      0.405
         tennis racket        167        225      0.774      0.702      0.789       0.54
                bottle        379       1013      0.638       0.49      0.557       0.39
            wine glass        110        341      0.759      0.481      0.558      0.386
                   cup        390        895      0.682      0.505      0.571      0.427
                  fork        155        215      0.759      0.447      0.549      0.393
                 knife        181        325      0.525      0.231      0.314      0.202
                 spoon        153        253      0.522      0.265      0.284      0.194
                  bowl        314        623      0.683      0.506      0.588      0.453
                banana        103        370      0.576      0.262      0.351       0.23
                 apple         76        236      0.404      0.131      0.208      0.147
              sandwich         98        177      0.669      0.412      0.503      0.363
                orange         85        285      0.546      0.288      0.352      0.272
              broccoli         71        312      0.593      0.282      0.385       0.23
                carrot         81        365      0.467      0.271      0.311      0.199
               hot dog         51        125      0.634      0.443      0.471      0.375
                 pizza        153        284      0.771      0.669      0.716      0.558
                 donut         62        328      0.507      0.543      0.501      0.402
                  cake        124        310      0.689      0.474      0.551      0.379
                 chair        580       1771      0.636       0.44      0.506      0.335
                 couch        195        261      0.645      0.602      0.643      0.493
          potted plant        172        342      0.566      0.435      0.447      0.269
                   bed        149        163      0.682      0.619       0.68       0.52
          dining table        501        695      0.573      0.447      0.459       0.33
                toilet        149        179      0.743      0.737      0.791      0.647
                    tv        207        288      0.769      0.684      0.764      0.594
                laptop        183        231      0.741       0.72      0.774      0.656
                 mouse         88        106      0.815      0.708      0.792      0.607
                remote        145        283      0.626      0.403      0.449      0.289
              keyboard        106        153       0.71      0.575      0.708      0.559
            cell phone        214        262      0.643      0.462      0.521      0.354
             microwave         54         55      0.644      0.691      0.721      0.605
                  oven        115        143      0.597      0.476      0.539      0.369
               toaster          8          9      0.527      0.333       0.49       0.39
                  sink        187        225      0.659      0.525       0.57      0.381
          refrigerator        101        126      0.823      0.659      0.725      0.599
                  book        230       1129      0.475      0.117      0.221      0.118
                 clock        204        267      0.738      0.676      0.721      0.505
                  vase        137        274       0.67      0.544      0.553      0.397
              scissors         28         36      0.652      0.417      0.424      0.367
            teddy bear         94        190      0.739      0.584      0.656      0.494
            hair drier          9         11          1          0     0.0961     0.0639
            toothbrush         34         57      0.467      0.333      0.364      0.257
