                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):
                   all       5000      36335      0.666      0.537      0.582      0.426
                person       2693      10777      0.788      0.723      0.802      0.582
               bicycle        149        314      0.697      0.477      0.539      0.321
                   car        535       1918       0.72      0.613      0.666      0.455
            motorcycle        159        367      0.778      0.639      0.716      0.469
              airplane         97        143      0.788      0.783      0.847      0.688
                   bus        189        283      0.819      0.721       0.82      0.703
                 train        157        190      0.804      0.816      0.868      0.708
                 truck        250        414        0.6      0.471      0.539      0.381
                  boat        121        424      0.646      0.383      0.498      0.276
         traffic light        191        634       0.68      0.451      0.512      0.279
          fire hydrant         86        101      0.868      0.772      0.872      0.713
             stop sign         69         75       0.77      0.733      0.759      0.684
         parking meter         37         60      0.627       0.55      0.586      0.449
                 bench        235        411      0.559      0.355      0.372      0.253
                  bird        125        427      0.718      0.419      0.495      0.343
                   cat        184        202      0.825      0.796      0.849       0.69
                   dog        177        218      0.722      0.711      0.748      0.618
                 horse        128        272      0.818      0.732      0.812      0.636
                 sheep         65        354      0.684      0.723       0.74      0.532
                   cow         87        372      0.758      0.691      0.752      0.567
              elephant         89        252      0.777      0.865      0.854      0.658
                  bear         49         71      0.798      0.761      0.837      0.678
                 zebra         85        266       0.81      0.861       0.92      0.721
               giraffe        101        232      0.881      0.866        0.9      0.721
              backpack        228        371      0.531       0.24      0.258      0.146
              umbrella        174        407      0.664      0.569       0.57      0.393
               handbag        292        540      0.508      0.222      0.253      0.148
                   tie        145        252      0.748      0.464      0.514       0.35
              suitcase        105        299      0.612      0.545      0.574      0.395
               frisbee         84        115      0.783      0.774      0.831      0.665
                  skis        120        241      0.611      0.419      0.453      0.251
             snowboard         49         69      0.617      0.391       0.45      0.334
           sports ball        169        260       0.76      0.504      0.556      0.421
                  kite         91        327      0.592      0.593      0.589      0.409
          baseball bat         97        145      0.631       0.51      0.526      0.318
        baseball glove        100        148       0.66      0.588      0.601      0.385
            skateboard        127        179       0.77      0.754      0.768      0.567
             surfboard        149        267      0.713      0.559      0.596       0.37
         tennis racket        167        225      0.879      0.747      0.817      0.548
                bottle        379       1013      0.612      0.523      0.554      0.385
            wine glass        110        341      0.695      0.484      0.571      0.397
                   cup        390        895      0.628      0.542      0.576      0.428
                  fork        155        215      0.642      0.433      0.499      0.354
                 knife        181        325      0.492       0.24      0.256       0.16
                 spoon        153        253      0.469      0.265      0.288      0.188
                  bowl        314        623      0.616      0.514       0.57      0.437
                banana        103        370      0.544      0.286      0.344       0.22
                 apple         76        236       0.44      0.203      0.228      0.159
              sandwich         98        177      0.612      0.435      0.472      0.331
                orange         85        285      0.518      0.326      0.339      0.266
              broccoli         71        312      0.516      0.318      0.383      0.228
                carrot         81        365      0.374      0.316      0.289       0.18
               hot dog         51        125      0.625      0.376      0.449      0.331
                 pizza        153        284      0.747      0.655      0.731      0.568
                 donut         62        328      0.499       0.53      0.484      0.387
                  cake        124        310      0.632      0.509      0.531      0.353
                 chair        580       1771      0.623      0.445      0.498      0.322
                 couch        195        261      0.564      0.567      0.594      0.467
          potted plant        172        342      0.533      0.462      0.467      0.272
                   bed        149        163      0.709      0.577      0.647      0.477
          dining table        501        695      0.542      0.462      0.451       0.31
                toilet        149        179      0.726      0.682      0.748      0.615
                    tv        207        288      0.755      0.672      0.747      0.588
                laptop        183        231      0.725       0.71      0.762      0.651
                 mouse         88        106       0.73      0.745      0.796      0.628
                remote        145        283      0.603      0.442      0.494      0.315
              keyboard        106        153      0.707      0.575      0.693      0.543
            cell phone        214        262      0.578      0.496      0.513      0.349
             microwave         54         55      0.577      0.691      0.717      0.606
                  oven        115        143      0.608      0.503       0.53      0.344
               toaster          8          9      0.608      0.333      0.491      0.329
                  sink        187        225      0.639      0.529      0.571       0.38
          refrigerator        101        126      0.735      0.683      0.717      0.588
                  book        230       1129      0.421      0.157      0.211      0.111
                 clock        204        267      0.729       0.67      0.705      0.501
                  vase        137        274      0.601      0.518      0.549      0.403
              scissors         28         36      0.558      0.361       0.38      0.295
            teddy bear         94        190      0.717      0.601       0.65      0.493
            hair drier          9         11          1          0      0.051     0.0294
            toothbrush         34         57      0.578      0.312      0.335      0.248
