Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
coco_20_DA_clasico,all,5000,36335,0.477,0.323,0.33,0.219
coco_20_DA_clasico,person,2693,10777,0.651,0.603,0.646,0.41
coco_20_DA_clasico,bicycle,149,314,0.494,0.245,0.254,0.143
coco_20_DA_clasico,car,535,1918,0.536,0.424,0.419,0.252
coco_20_DA_clasico,motorcycle,159,367,0.517,0.458,0.482,0.263
coco_20_DA_clasico,airplane,97,143,0.536,0.601,0.582,0.415
coco_20_DA_clasico,bus,189,283,0.63,0.554,0.607,0.484
coco_20_DA_clasico,train,157,190,0.618,0.668,0.685,0.485
coco_20_DA_clasico,truck,250,414,0.389,0.302,0.278,0.171
coco_20_DA_clasico,boat,121,424,0.394,0.255,0.221,0.107
coco_20_DA_clasico,bench,235,411,0.45,0.153,0.169,0.104
coco_20_DA_clasico,bird,125,427,0.564,0.17,0.231,0.138
coco_20_DA_clasico,cat,184,202,0.52,0.658,0.647,0.436
coco_20_DA_clasico,dog,177,218,0.461,0.459,0.426,0.3
coco_20_DA_clasico,horse,128,272,0.466,0.515,0.489,0.33
coco_20_DA_clasico,sheep,65,354,0.407,0.515,0.434,0.265
coco_20_DA_clasico,cow,87,372,0.457,0.446,0.419,0.275
coco_20_DA_clasico,elephant,89,252,0.61,0.601,0.626,0.442
coco_20_DA_clasico,bear,49,71,0.461,0.634,0.611,0.477
coco_20_DA_clasico,zebra,85,266,0.636,0.729,0.783,0.531
coco_20_DA_clasico,giraffe,101,232,0.765,0.728,0.76,0.534
coco_20_DA_clasico,backpack,228,371,0.32,0.0458,0.0728,0.0396
coco_20_DA_clasico,umbrella,174,407,0.443,0.332,0.318,0.181
coco_20_DA_clasico,handbag,292,540,0.375,0.0352,0.0507,0.0229
coco_20_DA_clasico,tie,145,252,0.446,0.222,0.218,0.108
coco_20_DA_clasico,suitcase,105,299,0.423,0.11,0.15,0.078
coco_20_DA_clasico,frisbee,84,115,0.686,0.455,0.532,0.382
coco_20_DA_clasico,skis,120,241,0.348,0.199,0.177,0.0822
coco_20_DA_clasico,snowboard,49,69,0.397,0.116,0.152,0.0891
coco_20_DA_clasico,kite,91,327,0.461,0.44,0.386,0.232
coco_20_DA_clasico,skateboard,127,179,0.537,0.408,0.406,0.244
coco_20_DA_clasico,surfboard,149,267,0.412,0.315,0.263,0.118
coco_20_DA_clasico,bottle,379,1013,0.526,0.237,0.281,0.169
coco_20_DA_clasico,cup,390,895,0.424,0.332,0.317,0.215
coco_20_DA_clasico,fork,155,215,0.299,0.0934,0.109,0.0558
coco_20_DA_clasico,knife,181,325,0.248,0.0523,0.0559,0.0256
coco_20_DA_clasico,spoon,153,253,0.188,0.0198,0.0316,0.0173
coco_20_DA_clasico,bowl,314,623,0.469,0.383,0.374,0.267
coco_20_DA_clasico,banana,103,370,0.389,0.133,0.146,0.0766
