Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
COCO20_Classic,all,5000,36335,0.671,0.532,0.584,0.433
COCO20_Classic,person,2693,10777,0.792,0.71,0.794,0.581
COCO20_Classic,bicycle,149,314,0.715,0.452,0.537,0.335
COCO20_Classic,car,535,1918,0.723,0.579,0.651,0.446
COCO20_Classic,motorcycle,159,367,0.736,0.616,0.705,0.477
COCO20_Classic,airplane,97,143,0.776,0.825,0.881,0.704
COCO20_Classic,bus,189,283,0.799,0.77,0.828,0.715
COCO20_Classic,train,157,190,0.844,0.789,0.879,0.711
COCO20_Classic,truck,250,414,0.6,0.464,0.537,0.385
COCO20_Classic,boat,121,424,0.657,0.399,0.474,0.276
COCO20_Classic,bench,235,411,0.608,0.355,0.379,0.269
COCO20_Classic,bird,125,427,0.692,0.384,0.473,0.33
COCO20_Classic,cat,184,202,0.803,0.847,0.877,0.735
COCO20_Classic,dog,177,218,0.697,0.757,0.772,0.646
COCO20_Classic,horse,128,272,0.802,0.757,0.811,0.635
COCO20_Classic,sheep,65,354,0.69,0.709,0.743,0.545
COCO20_Classic,cow,87,372,0.71,0.669,0.743,0.571
COCO20_Classic,elephant,89,252,0.777,0.893,0.857,0.676
COCO20_Classic,bear,49,71,0.804,0.75,0.79,0.663
COCO20_Classic,zebra,85,266,0.822,0.831,0.899,0.715
COCO20_Classic,giraffe,101,232,0.873,0.875,0.909,0.731
COCO20_Classic,backpack,228,371,0.527,0.208,0.269,0.145
COCO20_Classic,umbrella,174,407,0.692,0.558,0.596,0.42
COCO20_Classic,handbag,292,540,0.564,0.22,0.265,0.155
COCO20_Classic,tie,145,252,0.732,0.444,0.502,0.343
COCO20_Classic,suitcase,105,299,0.628,0.531,0.547,0.385
COCO20_Classic,frisbee,84,115,0.765,0.765,0.838,0.671
COCO20_Classic,skis,120,241,0.655,0.382,0.454,0.263
COCO20_Classic,snowboard,49,69,0.642,0.406,0.513,0.383
COCO20_Classic,kite,91,327,0.633,0.575,0.597,0.41
COCO20_Classic,skateboard,127,179,0.765,0.746,0.776,0.577
COCO20_Classic,surfboard,149,267,0.682,0.562,0.604,0.403
COCO20_Classic,bottle,379,1013,0.643,0.506,0.553,0.388
COCO20_Classic,cup,390,895,0.68,0.501,0.571,0.426
COCO20_Classic,fork,155,215,0.691,0.447,0.535,0.394
COCO20_Classic,knife,181,325,0.526,0.222,0.285,0.18
COCO20_Classic,spoon,153,253,0.5,0.265,0.282,0.194
COCO20_Classic,bowl,314,623,0.663,0.52,0.58,0.447
COCO20_Classic,banana,103,370,0.57,0.286,0.356,0.226
COCO20_Classic,apple,76,236,0.499,0.186,0.251,0.175
COCO20_Classic,sandwich,98,177,0.634,0.407,0.466,0.349
COCO20_Classic,orange,85,285,0.476,0.284,0.321,0.252
COCO20_Classic,broccoli,71,312,0.55,0.301,0.372,0.222
COCO20_Classic,carrot,81,365,0.421,0.27,0.292,0.184
COCO20_Classic,pizza,153,284,0.78,0.655,0.723,0.56
COCO20_Classic,donut,62,328,0.467,0.561,0.518,0.42
COCO20_Classic,cake,124,310,0.617,0.484,0.51,0.348
COCO20_Classic,chair,580,1771,0.639,0.415,0.492,0.326
COCO20_Classic,couch,195,261,0.637,0.579,0.634,0.496
COCO20_Classic,bed,149,163,0.678,0.626,0.67,0.504
COCO20_Classic,toilet,149,179,0.72,0.732,0.77,0.637
COCO20_Classic,tv,207,288,0.754,0.694,0.758,0.59
COCO20_Classic,laptop,183,231,0.715,0.696,0.742,0.636
COCO20_Classic,mouse,88,106,0.756,0.729,0.774,0.6
COCO20_Classic,remote,145,283,0.582,0.403,0.457,0.301
COCO20_Classic,keyboard,106,153,0.706,0.542,0.695,0.543
COCO20_Classic,microwave,54,55,0.619,0.679,0.706,0.575
COCO20_Classic,oven,115,143,0.634,0.517,0.545,0.386
COCO20_Classic,toaster,8,9,0.885,0.333,0.571,0.419
COCO20_Classic,sink,187,225,0.653,0.529,0.56,0.372
COCO20_Classic,refrigerator,101,126,0.687,0.627,0.713,0.577
COCO20_Classic,book,230,1129,0.453,0.0983,0.213,0.113
COCO20_Classic,clock,204,267,0.754,0.685,0.723,0.518
COCO20_Classic,vase,137,274,0.603,0.54,0.532,0.386
COCO20_Classic,scissors,28,36,0.562,0.444,0.43,0.361
COCO20_Classic,toothbrush,34,57,0.329,0.263,0.294,0.227
COCO20_Hibrid,all,5000,36335,0.685,0.533,0.591,0.438
COCO20_Hibrid,person,2693,10777,0.796,0.709,0.793,0.576
COCO20_Hibrid,bicycle,149,314,0.72,0.475,0.557,0.335
COCO20_Hibrid,car,535,1918,0.716,0.587,0.652,0.448
COCO20_Hibrid,motorcycle,159,367,0.713,0.651,0.715,0.486
COCO20_Hibrid,airplane,97,143,0.805,0.825,0.89,0.708
COCO20_Hibrid,bus,189,283,0.808,0.761,0.837,0.713
COCO20_Hibrid,train,157,190,0.874,0.804,0.881,0.728
COCO20_Hibrid,truck,250,414,0.623,0.44,0.546,0.388
COCO20_Hibrid,boat,121,424,0.656,0.365,0.467,0.268
COCO20_Hibrid,bench,235,411,0.594,0.372,0.381,0.259
COCO20_Hibrid,bird,125,427,0.721,0.388,0.486,0.326
COCO20_Hibrid,cat,184,202,0.815,0.875,0.889,0.731
COCO20_Hibrid,dog,177,218,0.751,0.78,0.776,0.655
COCO20_Hibrid,horse,128,272,0.776,0.754,0.811,0.627
COCO20_Hibrid,sheep,65,354,0.708,0.686,0.734,0.55
COCO20_Hibrid,cow,87,372,0.733,0.679,0.752,0.565
COCO20_Hibrid,elephant,89,252,0.732,0.869,0.846,0.676
COCO20_Hibrid,bear,49,71,0.827,0.775,0.824,0.689
COCO20_Hibrid,zebra,85,266,0.802,0.85,0.899,0.719
COCO20_Hibrid,giraffe,101,232,0.862,0.879,0.904,0.733
COCO20_Hibrid,backpack,228,371,0.519,0.221,0.276,0.151
COCO20_Hibrid,umbrella,174,407,0.656,0.555,0.61,0.434
COCO20_Hibrid,handbag,292,540,0.621,0.194,0.277,0.165
COCO20_Hibrid,tie,145,252,0.733,0.458,0.524,0.357
COCO20_Hibrid,suitcase,105,299,0.611,0.542,0.568,0.402
COCO20_Hibrid,frisbee,84,115,0.779,0.809,0.83,0.654
COCO20_Hibrid,skis,120,241,0.633,0.373,0.464,0.272
COCO20_Hibrid,snowboard,49,69,0.653,0.409,0.494,0.364
COCO20_Hibrid,kite,91,327,0.637,0.569,0.611,0.423
COCO20_Hibrid,skateboard,127,179,0.726,0.76,0.758,0.571
COCO20_Hibrid,surfboard,149,267,0.702,0.581,0.605,0.405
COCO20_Hibrid,bottle,379,1013,0.638,0.49,0.557,0.39
COCO20_Hibrid,cup,390,895,0.682,0.505,0.571,0.427
COCO20_Hibrid,fork,155,215,0.759,0.447,0.549,0.393
COCO20_Hibrid,knife,181,325,0.525,0.231,0.314,0.202
COCO20_Hibrid,spoon,153,253,0.522,0.265,0.284,0.194
COCO20_Hibrid,bowl,314,623,0.683,0.506,0.588,0.453
COCO20_Hibrid,banana,103,370,0.576,0.262,0.351,0.23
COCO20_Hibrid,apple,76,236,0.404,0.131,0.208,0.147
COCO20_Hibrid,sandwich,98,177,0.669,0.412,0.503,0.363
COCO20_Hibrid,orange,85,285,0.546,0.288,0.352,0.272
COCO20_Hibrid,broccoli,71,312,0.593,0.282,0.385,0.23
COCO20_Hibrid,carrot,81,365,0.467,0.271,0.311,0.199
COCO20_Hibrid,pizza,153,284,0.771,0.669,0.716,0.558
COCO20_Hibrid,donut,62,328,0.507,0.543,0.501,0.402
COCO20_Hibrid,cake,124,310,0.689,0.474,0.551,0.379
COCO20_Hibrid,chair,580,1771,0.636,0.44,0.506,0.335
COCO20_Hibrid,couch,195,261,0.645,0.602,0.643,0.493
COCO20_Hibrid,bed,149,163,0.682,0.619,0.68,0.52
COCO20_Hibrid,toilet,149,179,0.743,0.737,0.791,0.647
COCO20_Hibrid,tv,207,288,0.769,0.684,0.764,0.594
