Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
FT_OG,all,857,857,0.848,0.789,0.886,0.73
FT_OG,pistol,85,85,0.91,0.918,0.952,0.783
FT_OG,smartphone,140,140,0.939,0.663,0.922,0.801
FT_OG,knife,452,452,0.97,0.903,0.973,0.676
FT_OG,monedero,71,71,0.642,0.789,0.762,0.63
FT_OG,billete,52,52,0.851,0.885,0.926,0.823
FT_OG,tarjeta,57,57,0.777,0.579,0.782,0.665
FT_DA_CLASSIC,all,857,857,0.791,0.819,0.89,0.741
FT_DA_CLASSIC,pistol,85,85,0.812,0.917,0.94,0.777
FT_DA_CLASSIC,smartphone,140,140,0.868,0.753,0.924,0.802
FT_DA_CLASSIC,knife,452,452,0.944,0.954,0.983,0.702
FT_DA_CLASSIC,monedero,71,71,0.623,0.792,0.797,0.688
FT_DA_CLASSIC,billete,52,52,0.735,0.923,0.93,0.827
FT_DA_CLASSIC,tarjeta,57,57,0.766,0.574,0.766,0.653
FT_DADM,all,857,857,0.839,0.839,0.903,0.757
FT_DADM,pistol,85,85,0.871,0.871,0.943,0.789
FT_DADM,smartphone,140,140,0.957,0.804,0.94,0.812
FT_DADM,knife,452,452,0.965,0.938,0.979,0.705
FT_DADM,monedero,71,71,0.708,0.82,0.812,0.712
FT_DADM,billete,52,52,0.773,0.885,0.935,0.847
FT_DADM,tarjeta,57,57,0.758,0.714,0.811,0.679
FT_HIBRID,all,857,857,0.868,0.839,0.911,0.769
FT_HIBRID,pistol,85,85,0.871,0.918,0.942,0.797
FT_HIBRID,smartphone,140,140,0.982,0.75,0.948,0.819
FT_HIBRID,knife,452,452,0.975,0.932,0.984,0.715
FT_HIBRID,monedero,71,71,0.704,0.817,0.791,0.691
FT_HIBRID,billete,52,52,0.874,0.904,0.961,0.869
FT_HIBRID,tarjeta,57,57,0.803,0.716,0.841,0.721
