Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
GUNS_DM,all,857,857,0.839,0.839,0.903,0.757
GUNS_DM,pistol,85,85,0.871,0.871,0.943,0.789
GUNS_DM,smartphone,140,140,0.957,0.804,0.94,0.812
GUNS_DM,knife,452,452,0.965,0.938,0.979,0.705
GUNS_DM,monedero,71,71,0.708,0.82,0.812,0.712
GUNS_DM,billete,52,52,0.773,0.885,0.935,0.847
GUNS_DM,tarjeta,57,57,0.758,0.714,0.811,0.679
GUNS_OG,all,857,857,0.848,0.789,0.886,0.73
GUNS_OG,pistol,85,85,0.91,0.918,0.952,0.783
GUNS_OG,smartphone,140,140,0.939,0.663,0.922,0.801
GUNS_OG,knife,452,452,0.97,0.903,0.973,0.676
GUNS_OG,monedero,71,71,0.642,0.789,0.762,0.63
GUNS_OG,billete,52,52,0.851,0.885,0.926,0.823
GUNS_OG,tarjeta,57,57,0.777,0.579,0.782,0.665
GUNS_Classic,all,857,857,0.791,0.819,0.89,0.741
GUNS_Classic,pistol,85,85,0.812,0.917,0.94,0.777
GUNS_Classic,smartphone,140,140,0.868,0.753,0.924,0.802
GUNS_Classic,knife,452,452,0.944,0.954,0.983,0.702
GUNS_Classic,monedero,71,71,0.623,0.792,0.797,0.688
GUNS_Classic,billete,52,52,0.735,0.923,0.93,0.827
GUNS_Classic,tarjeta,57,57,0.766,0.574,0.766,0.653
GUNS_Hibrid,all,857,857,0.868,0.839,0.911,0.769
GUNS_Hibrid,pistol,85,85,0.871,0.918,0.942,0.797
GUNS_Hibrid,smartphone,140,140,0.982,0.75,0.948,0.819
GUNS_Hibrid,knife,452,452,0.975,0.932,0.984,0.715
GUNS_Hibrid,monedero,71,71,0.704,0.817,0.791,0.691
GUNS_Hibrid,billete,52,52,0.874,0.904,0.961,0.869
GUNS_Hibrid,tarjeta,57,57,0.803,0.716,0.841,0.721
