Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
coco_og,all,5000,36335,0.634,0.475,0.521,0.372
coco_og,person,2693,10777,0.755,0.671,0.745,0.515
coco_og,bicycle,149,314,0.69,0.392,0.457,0.264
coco_og,car,535,1918,0.648,0.514,0.562,0.365
coco_og,motorcycle,159,367,0.712,0.58,0.658,0.414
coco_og,airplane,97,143,0.814,0.764,0.834,0.653
coco_og,bus,189,283,0.747,0.643,0.739,0.62
coco_og,train,157,190,0.798,0.77,0.834,0.647
coco_og,truck,250,414,0.547,0.397,0.435,0.295
coco_og,boat,121,424,0.583,0.3,0.375,0.209
coco_og,bench,235,411,0.571,0.258,0.296,0.195
coco_og,bird,125,427,0.693,0.358,0.427,0.278
coco_og,cat,184,202,0.776,0.824,0.856,0.652
coco_og,dog,177,218,0.656,0.698,0.729,0.593
coco_og,horse,128,272,0.701,0.651,0.693,0.525
coco_og,sheep,65,354,0.611,0.667,0.662,0.46
coco_og,cow,87,372,0.697,0.6,0.682,0.49
coco_og,elephant,89,252,0.705,0.833,0.821,0.629
coco_og,bear,49,71,0.848,0.775,0.842,0.689
coco_og,zebra,85,266,0.809,0.797,0.882,0.658
coco_og,giraffe,101,232,0.857,0.828,0.887,0.684
coco_og,backpack,228,371,0.49,0.156,0.197,0.101
coco_og,umbrella,174,407,0.632,0.504,0.542,0.361
coco_og,handbag,292,540,0.48,0.126,0.169,0.0859
coco_og,tie,145,252,0.688,0.361,0.429,0.269
coco_og,suitcase,105,299,0.571,0.435,0.503,0.343
coco_og,frisbee,84,115,0.747,0.771,0.767,0.584
coco_og,skis,120,241,0.605,0.317,0.37,0.189
coco_og,snowboard,49,69,0.507,0.333,0.396,0.268
coco_og,kite,91,327,0.606,0.52,0.558,0.38
coco_og,skateboard,127,179,0.721,0.607,0.663,0.451
coco_og,surfboard,149,267,0.629,0.476,0.507,0.309
coco_og,bottle,379,1013,0.614,0.386,0.455,0.298
coco_og,cup,390,895,0.584,0.441,0.489,0.351
coco_og,fork,155,215,0.582,0.318,0.389,0.263
coco_og,knife,181,325,0.508,0.163,0.173,0.106
coco_og,spoon,153,253,0.413,0.145,0.16,0.0987
coco_og,bowl,314,623,0.59,0.494,0.53,0.392
coco_og,banana,103,370,0.551,0.319,0.374,0.234
coco_og,apple,76,236,0.415,0.242,0.227,0.156
coco_og,sandwich,98,177,0.571,0.486,0.463,0.349
coco_og,orange,85,285,0.44,0.418,0.369,0.281
coco_og,broccoli,71,312,0.477,0.338,0.369,0.209
coco_og,carrot,81,365,0.447,0.293,0.307,0.189
coco_og,pizza,153,284,0.66,0.613,0.658,0.503
coco_og,donut,62,328,0.577,0.494,0.515,0.408
coco_og,cake,124,310,0.535,0.39,0.437,0.293
coco_og,chair,580,1771,0.583,0.339,0.403,0.257
coco_og,couch,195,261,0.592,0.55,0.585,0.434
coco_og,bed,149,163,0.551,0.552,0.589,0.427
coco_og,toilet,149,179,0.722,0.737,0.775,0.642
coco_og,tv,207,288,0.772,0.635,0.715,0.553
coco_og,laptop,183,231,0.682,0.662,0.699,0.58
coco_og,mouse,88,106,0.634,0.651,0.708,0.531
coco_og,remote,145,283,0.431,0.223,0.271,0.161
coco_og,keyboard,106,153,0.594,0.602,0.649,0.482
coco_og,microwave,54,55,0.617,0.545,0.643,0.514
coco_og,oven,115,143,0.644,0.448,0.511,0.35
coco_og,toaster,8,9,0.727,0.222,0.436,0.316
coco_og,sink,187,225,0.563,0.44,0.508,0.337
coco_og,refrigerator,101,126,0.667,0.587,0.65,0.511
coco_og,book,230,1129,0.491,0.111,0.197,0.0973
coco_og,clock,204,267,0.751,0.607,0.667,0.459
coco_og,vase,137,274,0.584,0.445,0.453,0.322
coco_og,scissors,28,36,0.69,0.333,0.332,0.278
coco_og,toothbrush,34,57,0.403,0.193,0.236,0.165
coco_20,person,2693,10777,0.641,0.608,0.646,0.41
coco_20,bicycle,149,314,0.467,0.243,0.251,0.137
coco_20,car,535,1918,0.523,0.416,0.41,0.24
coco_20,motorcycle,159,367,0.554,0.45,0.468,0.248
coco_20,airplane,97,143,0.494,0.538,0.568,0.386
coco_20,bus,189,283,0.643,0.566,0.593,0.467
coco_20,train,157,190,0.641,0.621,0.651,0.47
coco_20,truck,250,414,0.391,0.302,0.281,0.174
